;link;id;Landscape;Portrait;Documentary;Other (photo) with description;Text;Other (picture) with description;Directly related;Indirectly related;Positiv;Negative;Likeseeker;refugees help;meeting refugees;sea crossing;public demonstration;refugees documentary;konferenz;opinion;ref. Lager;humnanism;others;;;;
22755;https://www.instagram.com/p/-Bxq13omMX/;1117392630903366423_2218647199;;;;;;;;;;;;;;;;;;;;;;;;;
22368;https://www.instagram.com/p/-D9XYGu6Om/;1118007019785921446_1056683815;;;;;;;;;;;;;;;;;;;;;;;;;
32616;https://www.instagram.com/p/9DbSG2Pr9i/;1099842725567446882_502079014;;;;;;;;;;;;;;;;;;;;;;;;;
52825;https://www.instagram.com/p/7pTQf5jdOV/;1074474682751505301_13350883;;;;;;;;;;;;;;;;;;;;;;;;;
46353;https://www.instagram.com/p/770FBdC9hn/;1079685579262384231_2047480757;;;;;;;;;;;;;;;;;;;;;;;;;
10714;https://www.instagram.com/p/-mJn-eCeAU/;1127631086257037332_1523110631;;;;;;;;;;;;;;;;;;;;;;;;;
73112;https://www.instagram.com/p/6-gzd_sByo/;1062430836494703784_258218078;;;;;;;;;;;;;;;;;;;;;;;;;
100457;https://www.instagram.com/p/qzBHAelMBt/;770964840806400109_8851327;;;;;;;;;;;;;;;;;;;;;;;;;
35545;https://www.instagram.com/p/8v3NRenz8L/;1094336039152992011_6906998;;;;;;;;;;;;;;;;;;;;;;;;;
33779;https://www.instagram.com/p/87z10JrNxT/;1097698932696079443_1052542870;;;;;;;;;;;;;;;;;;;;;;;;;
60471;https://www.instagram.com/p/7YlUJezRjR/;1069769023791372497_398379933;;;;;;;;;;;;;;;;;;;;;;;;;
73148;https://www.instagram.com/p/6-T12dHtWd/;1062373825592612253_373831972;;;;;;;;;;;;;;;;;;;;;;;;;
45119;https://www.instagram.com/p/8AoJ35Kc-H/;1081040510919495559_260827674;;;;;;;;;;;;;;;;;;;;;;;;;
60698;https://www.instagram.com/p/7YPp15HUT_/;1069673757563241727_1429791872;;;;;;;;;;;;;;;;;;;;;;;;;
60037;https://www.instagram.com/p/7Z6vP1CYrV/;1070144719986199253_2087565609;;;;;;;;;;;;;;;;;;;;;;;;;
123959;https://www.instagram.com/p/7iKbQvnlSU/;1072465515137356948_121940;;;;;;;;;;;;;;;;;;;;;;;;;
53905;https://www.instagram.com/p/7mWaRasGOd/;1073644123605459869_1486783095;;;;;;;;;;;;;;;;;;;;;;;;;
51647;https://www.instagram.com/p/7saE_fzCDK/;1075349103301107914_1633514871;;;;;;;;;;;;;;;;;;;;;;;;;
38261;https://www.instagram.com/p/8ftPNUAwtn/;1089788592026487655_1949565193;;;;;;;;;;;;;;;;;;;;;;;;;
7991;https://www.instagram.com/p/-z3AcIj2OR/;1131489854166623121_1913260983;;;;;;;;;;;;;;;;;;;;;;;;;
3837;https://www.instagram.com/p/_I-4A7DbAz/;1137435434076188723_324470875;;;;;;;;;;;;;;;;;;;;;;;;;
